frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta,Y
66,eth:ethertype:ip:tcp,20,52,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65196,8000,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65193,8000,0,1478,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65193,1460,450,0,0,0,0,0,1,0,0,0,0,130816,0.000303000,normal
66,eth:ethertype:ip:tcp,20,52,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,0,1,0,0,0,0,0,1,0,0,1,0,65535,0.000759000,normal
66,eth:ethertype:ip:tcp,20,52,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65195,0,1,0,0,0,0,0,1,0,0,1,0,65535,0.001026000,normal
66,eth:ethertype:ip:tcp,20,52,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,0,1,0,0,0,0,0,1,0,0,1,0,65535,0.001370000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65193,8000,0,2938,0,0,0,0,0,1,0,0,0,0,65536,0.003587000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65193,8000,0,5858,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
476,eth:ethertype:ip:tcp:http:data-text-lines,20,462,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65193,422,450,0,0,0,0,0,1,1,0,0,0,130816,0.000302000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65193,8000,0,11698,0,0,0,0,0,1,0,0,0,0,65536,0.044705000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65193,8000,0,14618,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
66,eth:ethertype:ip:tcp,20,52,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65193,8000,0,14618,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
505,eth:ethertype:ip:tcp:http,20,491,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65194,8000,451,1,0,0,0,0,0,1,1,0,0,0,65536,0.058684000,normal
499,eth:ethertype:ip:tcp:http,20,485,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65196,8000,445,1,0,0,0,0,0,1,1,0,0,0,65536,0.058073000,normal
501,eth:ethertype:ip:tcp:http,20,487,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65195,8000,447,1,0,0,0,0,0,1,1,0,0,0,65536,0.058417000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65194,8000,0,1,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65195,8000,0,1,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65196,8000,0,1,0,0,0,0,0,1,0,0,0,0,65536,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65193,8000,0,16500,0,0,0,0,0,1,0,0,0,0,65536,0.010546000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,0,452,0,0,0,0,0,1,0,0,0,0,130816,0.000662000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65195,0,448,0,0,0,0,0,1,0,0,0,0,130816,0.000697000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,0,446,0,0,0,0,0,1,0,0,0,0,130816,0.000711000,normal
71,eth:ethertype:ip:tcp,20,57,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,17,452,0,0,0,0,0,1,1,0,0,0,130816,0.036666000,normal
71,eth:ethertype:ip:tcp,20,57,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,17,446,0,0,0,0,0,1,1,0,0,0,130816,0.037235000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,1,0,0,0,130816,0.001350000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1460,452,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
1117,eth:ethertype:ip:tcp,20,1103,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65194,1063,452,0,0,0,0,0,1,1,0,0,0,130816,0.000000000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,1,0,0,0,130816,0.000757000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65196,1460,446,0,0,0,0,0,1,0,0,0,0,130816,0.000000000,normal
